"intent","true positive rate","positive predictive value","number of samples"
"about_VA","0.65625","0.75","32"
"capabilities","0.6083333333333333","0.6293103448275862","120"
"compound_questions","0.6388888888888888","0.6764705882352942","36"
"decision_replies","0.9","0.8181818181818182","10"
"goodbyes","0.84","0.875","50"
"greetings","0.9375","0.8333333333333334","48"
"improving_system","0.125","0.2","8"
"information_request","0.7857142857142857","0.6875","14"
"interface_interactions","0.5","0.5454545454545454","12"
"interface_issues","0.0","0.0","7"
"locate_amenity","0.982573726541555","0.9657444005270093","746"
"navigation","0.0","0.0","5"
"negative_reaction","0.42857142857142855","0.5625","21"
"not_specified","0.7419354838709677","0.7931034482758621","31"
"out_of_scope","0.9312977099236641","0.976","131"
"phone","0.9130434782608695","0.9545454545454546","23"
"positive_reaction","0.8928571428571429","0.9615384615384616","28"
"selections","0.8333333333333334","1.0","6"
"system_reliance","0.16666666666666666","0.3333333333333333","6"
"traffic_update","0.9239130434782609","0.9444444444444444","92"
"turn_down","0.9117647058823529","0.8157894736842105","34"
"turn_off","0.9152542372881356","0.907563025210084","118"
"turn_on","0.976911976911977","0.9562146892655368","693"
"turn_up","0.9333333333333333","0.9333333333333333","105"
"weather","0.9305555555555556","0.9115646258503401","144"
